nr;subOrganizationOf
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
100;1
101;1
102;1
103;1
104;1
105;1
106;1
107;1
108;1
109;1
110;1
111;1
112;1
113;1
114;1
115;1
116;1
117;1
118;1
200;2
201;2
202;2
203;2
204;2
205;2
206;2
207;2
208;2
209;2
210;2
211;2
212;2
300;3
301;3
302;3
303;3
304;3
305;3
306;3
307;3
308;3
309;3
310;3
311;3
312;3
313;3
314;3
315;3
316;3
317;3
400;4
401;4
402;4
403;4
404;4
405;4
406;4
407;4
408;4
409;4
410;4
411;4
412;4
413;4
414;4
415;4
416;4
417;4
418;4
419;4
500;5
501;5
502;5
503;5
504;5
505;5
506;5
507;5
508;5
509;5
510;5
511;5
512;5
513;5
600;6
601;6
602;6
603;6
604;6
605;6
606;6
607;6
608;6
609;6
610;6
611;6
612;6
613;6
614;6
615;6
700;7
701;7
702;7
703;7
704;7
705;7
706;7
707;7
708;7
709;7
710;7
711;7
712;7
713;7
714;7
715;7
716;7
717;7
718;7
719;7
800;8
801;8
802;8
803;8
804;8
805;8
806;8
807;8
808;8
809;8
810;8
811;8
812;8
813;8
814;8
815;8
816;8
817;8
900;9
901;9
902;9
903;9
904;9
905;9
906;9
907;9
908;9
909;9
910;9
911;9
1000;10
1001;10
1002;10
1003;10
1004;10
1005;10
1006;10
1007;10
1008;10
1009;10
1010;10
1011;10
1012;10
1013;10
1014;10
1100;11
1101;11
1102;11
1103;11
1104;11
1105;11
1106;11
1107;11
1108;11
1109;11
1110;11
1111;11
1112;11
1200;12
1201;12
1202;12
1203;12
1204;12
1205;12
1206;12
1207;12
1208;12
1209;12
1210;12
1300;13
1301;13
1302;13
1303;13
1304;13
1305;13
1306;13
1307;13
1308;13
1309;13
1310;13
1311;13
1312;13
1400;14
1401;14
1402;14
1403;14
1404;14
1405;14
1406;14
1407;14
1408;14
1409;14
1410;14
1411;14
