graduateStudentID;graduateCourseID
2;162
2;502
2;642
12;332
12;342
12;652
22;242
22;482
32;222
32;402
42;132
42;572
52;142
62;162
62;292
62;472
72;292
82;112
82;342
82;562
92;212
92;312
102;32
102;492
112;42
122;42
122;542
132;222
142;292
142;372
152;262
152;292
152;552
162;322
162;542
172;402
182;42
192;92
192;622
202;492
212;302
212;642
222;162
222;602
232;242
232;422
242;262
242;402
252;292
252;552
262;92
272;642
282;22
282;582
282;632
292;172
292;192
302;182
302;542
312;622
312;662
322;22
322;192
332;182
332;372
332;582
342;182
342;332
342;632
352;462
362;92
372;212
372;382
382;142
382;552
392;502
392;532
392;602
402;192
402;602
412;52
412;652
422;662
432;52
442;2
442;192
442;462
452;112
452;212
462;262
472;312
472;372
472;652
482;592
492;362
502;552
512;332
512;432
522;162
532;432
542;52
552;522
562;92
562;192
562;572
572;242
582;392
592;542
602;112
602;382
602;522
612;372
612;442
612;482
622;112
622;282
632;252
642;202
642;502
642;602
652;62
652;632
662;102
672;122
672;592
682;652
692;52
702;242
702;422
712;32
712;652
722;62
722;312
722;512
732;462
732;652
742;282
742;382
752;292
752;422
752;542
762;342
762;462
762;552
772;212
782;242
782;362
782;582
792;492
802;132
802;272
802;532
812;42
812;272
812;622
822;122
822;232
822;542
832;62
832;372
842;642
852;622
862;382
862;582
872;252
872;422
872;512
882;262
892;22
902;92
902;382
912;32
912;492
922;182
922;492
922;642
932;522
942;422
942;592
942;602
952;382
962;422
962;482
962;612
972;582
982;642
992;342
992;392
992;532
1002;42
1012;2
1012;652
1022;562
1032;152
1042;82
1042;282
1042;662
1052;452
1062;172
1072;12
1072;202
1072;312
1082;222
1092;652
1102;252
1102;292
1112;162
1112;182
1122;312
1122;362
1132;252
1132;382
1132;492
1142;82
1142;162
1142;662
1152;22
1152;122
1162;442
1162;582
1172;12
1172;462
1182;372
1182;432
1182;552
1192;462
1202;632
1212;202
1222;32
1232;112
1232;642
1242;2
1242;132
1242;662
1252;312
1252;582
1262;142
1262;402
1262;592
1272;322
1282;262
1282;432
1282;542
1292;402
1292;542
1292;652
1302;32
1312;352
1312;442
1322;372
1332;212
1332;532
1332;582
1342;182
1342;432
1342;572
1352;62
1352;92
1352;112
1362;552
1372;62
1372;452
1382;152
1382;522
1382;642
1392;112
1402;12
1402;662
1412;422
1412;602
1422;2
1422;402
1422;642
1432;242
1432;482
1432;532
1442;112
1442;222
1452;32
1452;52
1452;272
10002;1202
10012;1352
10012;1442
10022;1202
10022;1382
10022;1412
10032;1392
10042;1172
10042;1342
10042;1452
10052;1152
10052;1262
10062;1232
10072;1272
10082;1342
10092;1192
10092;1332
10102;1132
10102;1272
10102;1282
10112;1072
10112;1102
10112;1172
10122;1402
10132;1222
10142;1242
10142;1282
10152;1002
10152;1072
10152;1142
10162;1082
10162;1142
10172;1242
10182;1052
10182;1092
10182;1342
10192;1092
10192;1192
10192;1402
10202;1052
10202;1142
10202;1412
10212;1282
10212;1292
10212;1362
10222;1282
10222;1332
10222;1432
10232;1422
10242;1442
10252;1252
10262;1042
10262;1082
10262;1332
10272;1022
10282;1172
10282;1332
10282;1392
10292;1112
10302;1062
10302;1322
10312;1192
10322;1042
10332;1112
10332;1152
10342;1022
10342;1032
10342;1192
10352;1202
10352;1222
10352;1302
10362;1202
10362;1392
10372;1062
10382;1102
10382;1432
10392;1032
10392;1092
10402;1332
10412;1362
10412;1412
10422;1042
10432;1272
10432;1412
10442;1402
10452;1172
10462;1092
10462;1352
10472;1312
10482;1102
10492;1062
10492;1192
10502;1352
10512;1172
10522;1342
10532;1142
10532;1352
10542;1152
10542;1222
10542;1402
10552;1002
10552;1282
10562;1082
10562;1302
10572;1062
10572;1232
10572;1252
10582;1172
10582;1302
10592;1032
10592;1132
10592;1302
10602;1202
10602;1412
10602;1432
10612;1362
10622;1422
10632;1052
10642;1272
10652;1132
10652;1362
10652;1422
10662;1222
10672;1002
10672;1162
10672;1302
10682;1152
10682;1382
10692;1012
10692;1032
10692;1162
10702;1352
10702;1452
10712;1052
10712;1182
10712;1412
10722;1292
10722;1392
10732;1132
10732;1292
10742;1282
10742;1302
10742;1432
10752;1002
10752;1262
10762;1112
10762;1142
10762;1302
10772;1022
10772;1292
10782;1112
10782;1132
10782;1142
10792;1172
10792;1242
10792;1292
10802;1322
10812;1072
10812;1322
10822;1222
10832;1192
10832;1362
10842;1132
10842;1342
10852;1242
10862;1262
10862;1442
10872;1012
10872;1212
10882;1192
10882;1442
10892;1052
10892;1242
10892;1352
10902;1292
10902;1322
10912;1412
10922;1062
10922;1072
10922;1222
10932;1172
10932;1392
10942;1112
10942;1272
10942;1332
10952;1092
10962;1392
10972;1252
10972;1272
10972;1432
10982;1052
10992;1142
10992;1452
11002;1252
11002;1292
11002;1332
11012;1082
11012;1232
11022;1072
11022;1272
11022;1302
11032;1142
11032;1432
11042;1092
11042;1102
11052;1122
11062;1102
11062;1362
11072;1062
11072;1122
11072;1392
11082;1302
11092;1122
11092;1342
20002;2372
20012;2002
20012;2082
20022;2092
20022;2212
20022;2442
20032;2192
20032;2292
20032;2422
20042;2262
20042;2292
20042;2362
20052;2202
20052;2252
20062;2002
20062;2202
20062;2222
20072;2202
20082;2032
20092;2122
20102;2212
20102;2282
20112;2182
20122;2282
20122;2452
20132;2032
20132;2152
20132;2352
20142;2222
20142;2252
20152;2312
20152;2452
20162;2162
20162;2352
20172;2102
20182;2102
20182;2202
20182;2332
20192;2052
20192;2232
20202;2282
20212;2202
20212;2212
20212;2392
20222;2322
20222;2432
20232;2372
20242;2412
20252;2312
20262;2122
20262;2322
20262;2372
20272;2022
20272;2222
20272;2382
20282;2062
20282;2192
20282;2352
20292;2102
20292;2152
20292;2292
20302;2112
20302;2422
20312;2122
20312;2342
20312;2422
20322;2262
20332;2452
20342;2182
20342;2422
20352;2202
20362;2032
20362;2172
20362;2392
20372;2302
20382;2112
20382;2242
20382;2292
20392;2322
20402;2162
20412;2202
20422;2452
20432;2242
20432;2262
20442;2032
20442;2102
20442;2322
20452;2042
20452;2222
20452;2332
20462;2262
20472;2072
20472;2152
20472;2322
20482;2032
20482;2142
20492;2292
20502;2442
20512;2112
20512;2252
20512;2292
20522;2172
20522;2442
20532;2212
20542;2462
20552;2082
20552;2242
20552;2412
20562;2152
20572;2172
20572;2272
20572;2362
20582;2162
20582;2342
20582;2372
20592;2382
20602;2372
20612;2122
20612;2292
20612;2452
20622;2152
20622;2442
20632;2172
20632;2422
20632;2452
20642;2312
20642;2332
20642;2442
20652;2142
20652;2172
20662;2072
20672;2002
20672;2312
20672;2402
20682;2032
20682;2242
20682;2322
20692;2042
20692;2172
20692;2322
20702;2382
20702;2462
20712;2162
20712;2282
20722;2102
20722;2462
20732;2402
20742;2002
20752;2032
20752;2082
20762;2042
20762;2102
20762;2412
20772;2112
20772;2262
20782;2032
20782;2152
20782;2312
20792;2002
20792;2292
20802;2152
20812;2062
20812;2332
20822;2272
20832;2442
20842;2182
20842;2402
20852;2012
20852;2362
20862;2132
20872;2042
20872;2282
20872;2312
20882;2142
20892;2022
20892;2142
20892;2432
20902;2222
20902;2362
20902;2392
20912;2232
20912;2352
20912;2442
20922;2232
20922;2402
20932;2462
20942;2182
20942;2262
20942;2422
20952;2222
20952;2362
20962;2142
20972;2242
20982;2272
20982;2342
20992;2042
20992;2162
20992;2322
