nr;name;teacher;teachingAssistant
1;undergraduateCourse0;1;1102
11;undergraduateCourse1;11;
21;undergraduateCourse2;21;1432
31;undergraduateCourse3;21;
41;undergraduateCourse4;31;522
51;undergraduateCourse5;31;
61;undergraduateCourse6;41;
71;undergraduateCourse7;51;
81;undergraduateCourse8;61;672
91;undergraduateCourse9;61;962
101;undergraduateCourse10;71;
111;undergraduateCourse11;71;902
121;undergraduateCourse12;81;152
131;undergraduateCourse13;91;
141;undergraduateCourse14;91;432
151;undergraduateCourse15;2;
161;undergraduateCourse16;2;
171;undergraduateCourse17;12;762
181;undergraduateCourse18;12;72
191;undergraduateCourse19;22;
201;undergraduateCourse20;22;272
211;undergraduateCourse21;32;172
221;undergraduateCourse22;42;
231;undergraduateCourse23;42;
241;undergraduateCourse24;52;
251;undergraduateCourse25;62;12
261;undergraduateCourse26;72;
271;undergraduateCourse27;72;342
281;undergraduateCourse28;82;1092
291;undergraduateCourse29;92;262
301;undergraduateCourse30;92;142
311;undergraduateCourse31;102;
321;undergraduateCourse32;102;1132
331;undergraduateCourse33;112;
341;undergraduateCourse34;112;1302
351;undergraduateCourse35;122;22
361;undergraduateCourse36;132;1442
371;undergraduateCourse37;132;942
381;undergraduateCourse38;3;
391;undergraduateCourse39;3;
401;undergraduateCourse40;13;592
411;undergraduateCourse41;23;582
421;undergraduateCourse42;33;52
431;undergraduateCourse43;43;
441;undergraduateCourse44;53;
451;undergraduateCourse45;63;
461;undergraduateCourse46;73;
471;undergraduateCourse47;73;1142
481;undergraduateCourse48;83;
491;undergraduateCourse49;83;
501;undergraduateCourse50;93;
511;undergraduateCourse51;93;
521;undergraduateCourse52;4;
531;undergraduateCourse53;4;462
541;undergraduateCourse54;14;
551;undergraduateCourse55;24;1422
561;undergraduateCourse56;34;
571;undergraduateCourse57;34;
581;undergraduateCourse58;44;
591;undergraduateCourse59;54;932
601;undergraduateCourse60;64;
1001;undergraduateCourse0;1001;10782
1011;undergraduateCourse1;1001;10342
1021;undergraduateCourse2;1011;
1031;undergraduateCourse3;1021;10792
1041;undergraduateCourse4;1021;10092
1051;undergraduateCourse5;1031;11072
1061;undergraduateCourse6;1031;10282
1071;undergraduateCourse7;1041;
1081;undergraduateCourse8;1041;
1091;undergraduateCourse9;1051;11092
1101;undergraduateCourse10;1061;10932
1111;undergraduateCourse11;1071;
1121;undergraduateCourse12;1081;10032
1131;undergraduateCourse13;1091;10452
1141;undergraduateCourse14;1002;
1151;undergraduateCourse15;1012;
1161;undergraduateCourse16;1012;
1171;undergraduateCourse17;1022;10162
1181;undergraduateCourse18;1022;
1191;undergraduateCourse19;1032;
1201;undergraduateCourse20;1042;
1211;undergraduateCourse21;1052;
1221;undergraduateCourse22;1062;
1231;undergraduateCourse23;1072;
1241;undergraduateCourse24;1082;
1251;undergraduateCourse25;1092;10352
1261;undergraduateCourse26;1003;10202
1271;undergraduateCourse27;1003;10982
1281;undergraduateCourse28;1013;10752
1291;undergraduateCourse29;1023;
1301;undergraduateCourse30;1033;10062
1311;undergraduateCourse31;1043;10272
1321;undergraduateCourse32;1053;
1331;undergraduateCourse33;1053;10572
1341;undergraduateCourse34;1063;11062
1351;undergraduateCourse35;1073;
1361;undergraduateCourse36;1073;11002
1371;undergraduateCourse37;1004;
1381;undergraduateCourse38;1014;10912
1391;undergraduateCourse39;1014;10302
1401;undergraduateCourse40;1024;
1411;undergraduateCourse41;1024;10402
1421;undergraduateCourse42;1034;10722
1431;undergraduateCourse43;1034;
1441;undergraduateCourse44;1044;10242
1451;undergraduateCourse45;1044;
1461;undergraduateCourse46;1054;10122
1471;undergraduateCourse47;1054;10312
2001;undergraduateCourse0;2001;21062
2011;undergraduateCourse1;2001;
2021;undergraduateCourse2;2011;20242
2031;undergraduateCourse3;2021;20712
2041;undergraduateCourse4;2021;20102
2051;undergraduateCourse5;2031;
2061;undergraduateCourse6;2031;20472
2071;undergraduateCourse7;2041;
2081;undergraduateCourse8;2051;
2091;undergraduateCourse9;2051;
2101;undergraduateCourse10;2061;20862
2111;undergraduateCourse11;2061;
2121;undergraduateCourse12;2002;
2131;undergraduateCourse13;2012;
2141;undergraduateCourse14;2022;20012
2151;undergraduateCourse15;2022;
2161;undergraduateCourse16;2032;20262
2171;undergraduateCourse17;2032;
2181;undergraduateCourse18;2042;20232
2191;undergraduateCourse19;2042;20432
2201;undergraduateCourse20;2052;
2211;undergraduateCourse21;2062;
2221;undergraduateCourse22;2072;
2231;undergraduateCourse23;2082;
2241;undergraduateCourse24;2092;
2251;undergraduateCourse25;2102;
2261;undergraduateCourse26;2112;20292
2271;undergraduateCourse27;2112;
2281;undergraduateCourse28;2003;
2291;undergraduateCourse29;2003;
2301;undergraduateCourse30;2013;20992
2311;undergraduateCourse31;2023;20322
2321;undergraduateCourse32;2023;20732
2331;undergraduateCourse33;2033;
2341;undergraduateCourse34;2043;20222
2351;undergraduateCourse35;2043;
2361;undergraduateCourse36;2053;
2371;undergraduateCourse37;2053;20482
2381;undergraduateCourse38;2063;
2391;undergraduateCourse39;2073;20402
2401;undergraduateCourse40;2004;20082
2411;undergraduateCourse41;2004;20922
2421;undergraduateCourse42;2014;21032
2431;undergraduateCourse43;2014;
2441;undergraduateCourse44;2024;
2451;undergraduateCourse45;2034;
2461;undergraduateCourse46;2044;20092
2471;undergraduateCourse47;2054;20272
2481;undergraduateCourse48;2064;20562
3001;undergraduateCourse0;3001;30082
3011;undergraduateCourse1;3011;30822
3021;undergraduateCourse2;3021;
3031;undergraduateCourse3;3021;
3041;undergraduateCourse4;3031;
3051;undergraduateCourse5;3031;31162
3061;undergraduateCourse6;3041;
3071;undergraduateCourse7;3051;30002
3081;undergraduateCourse8;3061;
3091;undergraduateCourse9;3061;
3101;undergraduateCourse10;3071;30222
3111;undergraduateCourse11;3081;
3121;undergraduateCourse12;3002;30422
3131;undergraduateCourse13;3002;
3141;undergraduateCourse14;3012;30702
3151;undergraduateCourse15;3022;30662
3161;undergraduateCourse16;3022;31082
3171;undergraduateCourse17;3032;30412
3181;undergraduateCourse18;3032;31192
3191;undergraduateCourse19;3042;31112
3201;undergraduateCourse20;3052;31022
3211;undergraduateCourse21;3052;
3221;undergraduateCourse22;3062;30032
3231;undergraduateCourse23;3062;30852
3241;undergraduateCourse24;3072;
3251;undergraduateCourse25;3082;
3261;undergraduateCourse26;3092;30292
3271;undergraduateCourse27;3092;30782
