"nr";"professorType";"researchInterest";"headOf"
1;"fullProfessor";"collectives ";0
2;"associateProfessor";"haets renouncer unventilated ";0
3;"assistantProfessor";"taskmasters scowed starched ";0
11;"fullProfessor";"educts exordiums ";0
12;"associateProfessor";"atomism ruminations ";0
13;"assistantProfessor";"behooving puttered ";0
21;"fullProfessor";"trolleying misplace revictual ";0
22;"associateProfessor";"mf veluring ";0
23;"assistantProfessor";"incarcerations ";0
31;"fullProfessor";"rhetorically echolocation cutlers ";0
32;"associateProfessor";"obscenity oared ";0
33;"assistantProfessor";"undistributed dawns ";0
41;"fullProfessor";"arabizing specks ";0
42;"associateProfessor";"toeshoes spilling ";0
43;"assistantProfessor";"decoding plaguers ";0
51;"fullProfessor";"corsages firebrick ";0
52;"associateProfessor";"uncelebrated keynoted ";0
53;"assistantProfessor";"unenthusiastic tetragon ";0
61;"fullProfessor";"swob printers bambino ";0
62;"associateProfessor";"baboo ";0
63;"assistantProfessor";"kapoks ";0
71;"fullProfessor";"fortuned lambs chauvinist ";0
72;"associateProfessor";"rotisserie submersibles ";0
73;"assistantProfessor";"bummers exemplified booed ";0
81;"fullProfessor";"dressiest trumpeter ";0
82;"associateProfessor";"sorceress ";0
83;"assistantProfessor";"vicuna ";0
91;"fullProfessor";"vendees bewig beleaguered ";0
92;"associateProfessor";"fretsaws convoluted correlatives ";0
93;"assistantProfessor";"woollen subsurface highbrow ";0
102;"associateProfessor";"coveter ";0
112;"associateProfessor";"innuendoes aptest ";0
122;"associateProfessor";"southwesters ";0
132;"associateProfessor";"groats beguines ";0
1001;"fullProfessor";"loftiness moires resounding ";0
1002;"associateProfessor";"virologists ";0
1003;"assistantProfessor";"undistinguishable skippers ";0
1011;"fullProfessor";"cognize lecturer designers ";0
1012;"associateProfessor";"disarraying ";0
1013;"assistantProfessor";"achenial ";0
1021;"fullProfessor";"transgressions whammed ";0
1022;"associateProfessor";"ideo ";0
1023;"assistantProfessor";"hovering ";0
1031;"fullProfessor";"tubers inclines broths ";0
1032;"associateProfessor";"duellers ";0
1033;"assistantProfessor";"encamped escalates galactoscope ";0
1041;"fullProfessor";"resorting ";1
1042;"associateProfessor";"sics ";0
1043;"assistantProfessor";"rainout ";0
1051;"fullProfessor";"tinniest helots rioting ";0
1052;"associateProfessor";"slushiness ";0
1053;"assistantProfessor";"grouchiness ";0
1061;"fullProfessor";"unapt conically ";0
1062;"associateProfessor";"acceptances conformably fusspots ";0
1063;"assistantProfessor";"strangler wretchedly grafts ";0
1071;"fullProfessor";"overprint ";0
1072;"associateProfessor";"stargazers ";0
1073;"assistantProfessor";"clientless reannex ";0
1081;"fullProfessor";"wanness jongleur sporting ";0
1082;"associateProfessor";"slyness pies ";0
1091;"fullProfessor";"cinques printer huntresses ";0
1092;"associateProfessor";"dispatch coaled nabobery ";0
2001;"fullProfessor";"forearm ";0
2002;"associateProfessor";"sower heightening beths ";0
2003;"assistantProfessor";"unattempted ";0
2011;"fullProfessor";"backlashes unfathomed ";0
2012;"associateProfessor";"rebills reflexologies richening ";0
2013;"assistantProfessor";"underemployment bequests ";0
2021;"fullProfessor";"advantaged ";0
2022;"associateProfessor";"reunify accepters ";0
2023;"assistantProfessor";"jins mizzen ";0
2031;"fullProfessor";"craniofacial imprinted croquettes ";0
2032;"associateProfessor";"innervates brickiest ";0
2033;"assistantProfessor";"fathoms ";0
2041;"fullProfessor";"platinums ";2
2042;"associateProfessor";"overed dotingly ";0
2043;"assistantProfessor";"outstretch ";0
2051;"fullProfessor";"autosuggestions ";0
2052;"associateProfessor";"sweatiest recitatives knockwurst ";0
2053;"assistantProfessor";"appanages crowder ";0
2061;"fullProfessor";"whishes ";0
2062;"associateProfessor";"vulgarizer ";0
2063;"assistantProfessor";"deposits scarred obtuser ";0
2072;"associateProfessor";"superseder ";0
2073;"assistantProfessor";"catcher interrupter ";0
2082;"associateProfessor";"flameouts pastoralist ";0
2092;"associateProfessor";"tunelessly ";0
2102;"associateProfessor";"joins ";0
2112;"associateProfessor";"rawest unattractive gaol ";0
3001;"fullProfessor";"blunter ";0
3002;"associateProfessor";"dingbats eyewitnesses pulverization ";0
3003;"assistantProfessor";"demonstrational clinchers wrigglers ";0
3011;"fullProfessor";"arointed ";0
3012;"associateProfessor";"delegant ";0
3013;"assistantProfessor";"peyote omittance ";0
3021;"fullProfessor";"pronghorn ascertains ";0
3022;"associateProfessor";"wankel ";0
3023;"assistantProfessor";"breakables snobbishly interferometry ";0
3031;"fullProfessor";"weariful disrupts ";0
3032;"associateProfessor";"slanged reportage ";0
3033;"assistantProfessor";"preschoolers raisings millennial ";0
3041;"fullProfessor";"disesteem glassed angolan ";3
3042;"associateProfessor";"jib ";0
3043;"assistantProfessor";"soldered ";0
3051;"fullProfessor";"reaffirming spinnery resown ";0
3052;"associateProfessor";"salmonellas ";0
3053;"assistantProfessor";"ahchoo automatization ";0
