"undergraduateStudentID";"undergraduateCourseID"
101;1
161;1
221;1
421;1
1061;1
1161;1
1301;1
1341;1
1651;1
1871;1
2011;1
2451;1
2461;1
2491;1
2531;1
2581;1
2601;1
2691;1
2741;1
2771;1
2931;1
3931;1
3951;1
4021;1
4101;1
4331;1
4501;1
4571;1
4781;1
5011;1
21;11
991;11
1231;11
1581;11
1761;11
1921;11
2011;11
2141;11
2481;11
2571;11
2641;11
2751;11
2801;11
2821;11
2831;11
3151;11
3411;11
3431;11
3771;11
3881;11
3971;11
4281;11
4521;11
4851;11
5041;11
5071;11
5101;11
91;21
251;21
261;21
341;21
371;21
721;21
1201;21
1461;21
1521;21
1741;21
1861;21
1911;21
1921;21
2071;21
2221;21
2291;21
2441;21
2711;21
2961;21
2981;21
3071;21
3181;21
3421;21
3541;21
3671;21
4141;21
4171;21
4331;21
4761;21
5221;21
1;31
411;31
841;31
891;31
961;31
1371;31
1391;31
1451;31
1491;31
1631;31
1701;31
1811;31
2231;31
2411;31
2951;31
3041;31
3131;31
3381;31
3891;31
3961;31
4471;31
5021;31
5191;31
5301;31
1;41
191;41
501;41
651;41
701;41
921;41
1011;41
1041;41
1291;41
1561;41
1751;41
1781;41
1801;41
1891;41
1901;41
1941;41
2101;41
2721;41
2761;41
2821;41
3101;41
3111;41
3521;41
3711;41
3951;41
4041;41
4211;41
4471;41
4701;41
4791;41
4811;41
4921;41
5081;41
5091;41
511;51
601;51
741;51
931;51
1021;51
1191;51
2101;51
2661;51
2691;51
2741;51
2871;51
3091;51
3151;51
3931;51
4041;51
4061;51
4431;51
4531;51
4611;51
5231;51
5291;51
541;61
591;61
641;61
691;61
1081;61
1481;61
1711;61
1771;61
1911;61
1971;61
2331;61
2811;61
2881;61
3271;61
3841;61
4031;61
4161;61
4301;61
4341;61
5031;61
111;71
571;71
1291;71
1361;71
1961;71
2081;71
2241;71
2551;71
2761;71
3101;71
3221;71
3611;71
3631;71
3891;71
4941;71
4981;71
5091;71
151;81
271;81
581;81
1481;81
1631;81
1701;81
1901;81
1971;81
1981;81
2361;81
2381;81
2491;81
2631;81
2711;81
3081;81
4511;81
4721;81
221;91
331;91
431;91
941;91
1391;91
1531;91
2021;91
2681;91
3311;91
3641;91
3751;91
3821;91
4091;91
4181;91
4191;91
4391;91
4431;91
4521;91
4691;91
4851;91
5001;91
5231;91
5251;91
121;101
651;101
681;101
971;101
1191;101
1311;101
1351;101
1411;101
1421;101
1591;101
2061;101
2621;101
2631;101
2831;101
2891;101
2981;101
3061;101
3281;101
3391;101
3691;101
3901;101
3921;101
4431;101
5031;101
5141;101
5211;101
5251;101
491;111
751;111
981;111
1111;111
1331;111
1511;111
1541;111
1841;111
2261;111
2441;111
2521;111
2621;111
2631;111
2871;111
3361;111
3701;111
4241;111
4421;111
4661;111
5011;111
181;121
211;121
641;121
1141;121
1321;121
1431;121
1991;121
2001;121
2051;121
2151;121
2251;121
3171;121
3301;121
3471;121
3481;121
3531;121
3831;121
4061;121
4191;121
4251;121
4651;121
4661;121
4671;121
4751;121
4781;121
4921;121
5201;121
5231;121
11;131
61;131
81;131
171;131
1021;131
1261;131
1341;131
1601;131
1661;131
1691;131
1831;131
1991;131
2131;131
2201;131
2311;131
2351;131
2491;131
2951;131
3411;131
3821;131
3941;131
4031;131
4311;131
4441;131
4531;131
4721;131
4941;131
5061;131
5251;131
551;141
611;141
811;141
951;141
1731;141
2121;141
2181;141
2201;141
2521;141
2791;141
3131;141
3371;141
3691;141
4091;141
4121;141
4351;141
4541;141
5021;141
5171;141
5281;141
5301;141
131;151
241;151
441;151
551;151
581;151
1241;151
1461;151
1631;151
1761;151
1811;151
1981;151
2301;151
2461;151
2531;151
2571;151
2871;151
2921;151
3021;151
