material_id;formula_pretty
mp-1000217;Sr2LiSc(B2O5)2
mp-1000409;Sr2Cu(IO)2
mp-1000490;Sm(CuSi)2
mp-1000500;BaAlGe
mp-1000517;Tm(CuGe)2
mp-1000597;Li8IrO6
mp-1000691;Fe2P
mp-1000815;ThB2Ir3
mp-1001155;Te2Rh
mp-1001175;Nd(SiAu)2
mp-1001498;HgRhF6
mp-1001530;Er(NiP)2
mp-1001696;Tm(CuGe)2
mp-1001704;CaHgPb
mp-1001705;Be2Fe
mp-1001928;Er(GeRu)2
mp-1002013;Nd(NiP)2
mp-1002183;TcB
mp-1002184;TcB
mp-1002187;TcB
mp-1002188;TcB
mp-1002194;TcB
mp-1002195;TcB
mp-1002199;TcB
mp-1002201;TcB
mp-1002204;TcB
mp-1002205;TcB
mp-1002212;TcB
mp-1002214;TcB
mp-1002215;TcB
mp-1002218;TcB
mp-1002225;TcB
mp-1002231;TcB
mp-1002323;NaH2Pd3
mp-1003061;DyAl3
mp-10038;Er3AlC
mp-10039;Pr3AlC
mp-1003938;NaH2Pd3
mp-1004656;DyAl3
mp-1005224;Na
mp-1005234;Na
mp-1005320;YbAgS2
mp-1005343;MgCu
mp-1005370;MgCu
mp-1006366;Ce2Si3Rh
mp-10064;SiO2
mp-1006563;SiO2
mp-1006901;Sr2Cu(IO)2
mp-1006958;Sm(CuSi)2
mp-1006973;BaAlGe
mp-1006991;Tm(CuGe)2
mp-1007070;Li8IrO6
mp-1007150;Fe2P
mp-1007266;ThB2Ir3
mp-1007530;Te2Rh
mp-1007550;Nd(SiAu)2
mp-1008018;HgRhF6
mp-1008033;Er(NiP)2
mp-1008137;CaHgPb
mp-1008141;Be2Fe
mp-1008143;Tm(CuGe)2
mp-1008264;Er(GeRu)2
mp-1008387;Nd(NiP)2
mp-1008487;BW
mp-1008515;BW
mp-1008565;BW
mp-1008569;BW
mp-1008661;AuC
mp-1008673;TmCd2
mp-1008674;AuC
mp-1008684;AuC
mp-1008685;TmCd2
mp-1008687;AuC
mp-1008691;TmCd2
mp-1008699;TmCd2
mp-1010315;DyAl3
mp-1010785;Na
mp-1010825;MgCu
mp-1011371;SiO2
mp-10115;ThB2Ir3
mp-1011612;Sr2Cu(IO)2
mp-1011681;BaAlGe
mp-1011691;Sm(CuSi)2
mp-1011715;Tm(CuGe)2
mp-1011805;Li8IrO6
mp-1011886;Fe2P
mp-1012020;ThB2Ir3
mp-1012292;Te2Rh
mp-1012308;Nd(SiAu)2
mp-1012354;HgRhF6
mp-1012359;Er(NiP)2
mp-1012458;CaHgPb
mp-1012461;Tm(CuGe)2
mp-1012462;Be2Fe
mp-1012577;Er(GeRu)2
mp-1012674;Nd(NiP)2
mp-10172;Na
mp-1017696;LiBeSb
mp-1017849;LiBeSb
mp-1018049;LaN
mp-1018121;TiPd2
mp-1018148;ScAu2
mp-1018224;LaN
mp-1018286;TiPd2
mp-1018346;ScAu2
mp-1018411;LaN
mp-1018423;TiPd2
mp-1018454;ScAu2
mp-1018522;ScAu2
mp-1018583;TiPd2
mp-1018593;LaN
mp-1018640;Tm(CuS)2
mp-1018690;ErZnGa
mp-1018694;ErZnGa
mp-1018698;EuHgPb
mp-1018833;Tm(CuS)2
mp-1018888;PdCl2
mp-1018891;PdCl2
mp-1018904;Tm(CuS)2
mp-1018933;ErZnGa
mp-1018934;ErZnGa
mp-1018943;EuHgPb
mp-1019060;Tm(CuS)2
mp-1019130;ErZnGa
mp-1019131;ErZnGa
mp-1019144;EuHgPb
mp-1019240;PdCl2
mp-1019242;PdCl2
mp-1019301;ErZnGa
mp-1019331;ErZnGa
mp-1019362;ThBiTe
mp-1019382;EuHgPb
mp-1019452;PdCl2
mp-1019476;PdCl2
mp-1019650;PdCl2
mp-1019651;PdCl2
mp-1019698;ThBiTe
mp-1019833;ThBiTe
mp-1019989;ThBiTe
mp-1021503;SiO2
mp-1023376;SiO2
mp-10426;Nb2O5
mp-1045083;CaCu(GeO3)2
mp-1045102;CaCu(GeO3)2
mp-1045138;CaCu(GeO3)2
mp-1045145;CaCu(GeO3)2
mp-1045282;CaCu(GeO3)2
mp-10464;CaF2
mp-1048932;NaH2Pd3
mp-1048936;NaH2Pd3
mp-1048940;NaH2Pd3
mp-1049051;Eu2MgH6
mp-1049058;Eu2MgH6
mp-1049059;Eu2MgH6
mp-1051901;DyAl3
mp-1051920;DyAl3
mp-1051925;DyAl3
mp-1056956;LaN
mp-1056964;LaN
mp-1056979;LaN
mp-1056981;LaN
mp-1057066;LaN
mp-1057078;LaN
mp-1057104;LaN
mp-1057107;LaN
mp-1057283;TcB
mp-1057291;TcB
mp-1057305;TcB
mp-1057314;TcB
mp-1057421;LaN
mp-1057432;LaN
mp-1057444;LaN
mp-1057448;LaN
mp-1057774;LaN
mp-1057783;LaN
mp-1057805;LaN
mp-1057807;LaN
mp-1057895;LaN
mp-1057903;LaN
mp-1057929;LaN
mp-1057931;LaN
mp-1058250;LaN
mp-1058260;LaN
mp-1058276;LaN
mp-1058277;LaN
mp-1058408;LaN
mp-1058423;LaN
mp-1058437;LaN
mp-1058443;LaN
mp-1058498;TcB
mp-1058510;TcB
mp-1058525;TcB
mp-1058529;TcB
mp-1058573;LaN
mp-1058582;LaN
mp-1058586;SrN
mp-1058593;LaN
mp-1058598;SrN
mp-1058600;LaN
mp-1058605;LaN
mp-1058608;LaN
mp-1058619;LaN
mp-1058621;LaN
mp-1058629;SrN
mp-1058630;SrN
mp-1058676;LaN
mp-1058685;LaN
mp-1058708;LaN
mp-1058709;LaN
mp-1058827;LaN
mp-1058841;LaN
mp-1058861;LaN
mp-1058865;LaN
mp-1059047;LaN
mp-1059054;LaN
mp-1059069;LaN
mp-1059073;LaN
mp-1059154;LaN
mp-1059169;LaN
mp-1059190;LaN
mp-1059194;LaN
mp-1059238;LaN
mp-1059247;LaN
mp-1059266;LaN
mp-1059268;LaN
mp-1059347;LaN
mp-1059358;LaN
mp-1059379;LaN
mp-1059380;LaN
mp-1059562;LaN
mp-1059573;LaN
mp-1059605;LaN
mp-1059607;LaN
mp-1059782;LaN
mp-1059797;LaN
mp-1059826;LaN
mp-1059832;LaN
mp-1059996;TcB
mp-1060025;LaN
mp-1060031;TcB
mp-1060034;LaN
mp-1060053;TcB
mp-1060061;LaN
mp-1060062;LaN
mp-1060065;LaN
mp-1060078;LaN
mp-1060080;TcB
mp-1060087;LaN
mp-1060094;LaN
mp-1060103;LaN
mp-1060109;LaN
mp-1060111;LaN
mp-1060116;LaN
mp-1060129;LaN
mp-1060133;LaN
mp-1060138;LaN
mp-1060146;LaN
mp-1060164;LaN
mp-1060186;LaN
mp-10602;Sm3GaC
mp-1060215;LaN
mp-1060218;LaN
mp-1060313;LaN
mp-1060326;LaN
mp-1060329;LaN
mp-1060342;LaN
mp-1060361;LaN
mp-1060368;LaN
mp-1060377;LaN
mp-1060381;LaN
mp-1060390;LaN
mp-1060405;LaN
mp-1060442;LaN
mp-1060444;LaN
mp-1060727;AuC
mp-1060765;AuC
mp-1060796;AuC
mp-1060820;AuC
mp-1060975;LaN
mp-1060987;LaN
mp-1061033;LaN
mp-1061037;LaN
mp-1061043;LaN
mp-1061051;TcB
mp-1061066;LaN
mp-1061074;TcB
mp-1061104;LaN
mp-1061105;TcB
mp-1061112;LaN
mp-1061121;TcB
mp-1061194;LaN
mp-1061215;LaN
mp-1061242;LaN
mp-1061253;LaN
mp-1061260;LaN
mp-1061261;LaN
mp-1061292;LaN
mp-1061296;LaN
mp-1061377;LaN
mp-1061393;LaN
mp-1061431;LaN
mp-1061433;LaN
mp-1061861;TiPd2
mp-1061904;TiPd2
mp-1061932;Na
mp-1061937;TiPd2
mp-1061959;TiPd2
mp-1061962;GdBi
mp-1061963;Na
mp-1061965;TiPd2
mp-1061981;Na
mp-1061983;Na
mp-1061988;TiPd2
mp-1062005;TiPd2
mp-1062034;TmCd2
mp-1062038;TiPd2
mp-1062069;TmCd2
mp-1062091;GdBi
mp-1062097;TmCd2
mp-1062100;TmCd2
mp-1062124;GdBi
mp-1062132;GdBi
mp-1062249;TlBi2
mp-1062257;Na
mp-1062265;TlBi2
mp-1062295;TlBi2
mp-1062299;TlBi2
mp-1062301;Na
mp-1062317;Na
mp-1062326;Na
mp-1062603;TiPd2
mp-1062632;TiPd2
mp-1062650;TiPd2
mp-1062654;TiPd2
mp-1062663;TiPd2
mp-1062680;TiPd2
mp-1062705;TiPd2
mp-1062730;TiPd2
mp-1062755;CaF2
mp-1062773;CaF2
mp-1062785;CaF2
mp-1062786;CaF2
mp-1062978;TmCd2
mp-1063017;TmCd2
mp-1063041;TmCd2
mp-1063069;TmCd2
mp-1063322;ThO2
mp-1063329;ThO2
mp-1063346;ThO2
mp-1063347;ThO2
mp-1063426;TiPd2
mp-1063471;TiPd2
mp-1063494;TiPd2
mp-1063524;TiPd2
mp-1063532;ScAu2
mp-1063568;ScAu2
