material_id;spacegroup
mp-1000217;P2_1/c
mp-1000409;I4/mmm
mp-1000490;I4/mmm
mp-1000500;P-6m2
mp-1000517;I4/mmm
mp-1000597;R-3
mp-1000691;P-62m
mp-1000815;P6/mmm
mp-1001155;P-3m1
mp-1001175;I4/mmm
mp-1001498;R-3
mp-1001530;I4/mmm
mp-1001696;I4/mmm
mp-1001704;P6_3/mmc
mp-1001705;P6_3/mmc
mp-1001928;I4/mmm
mp-1002013;I4/mmm
mp-1002183;Pm-3m
mp-1002184;F-43m
mp-1002187;Fm-3m
mp-1002188;P-6m2
mp-1002194;Pm-3m
mp-1002195;F-43m
mp-1002199;Pm-3m
mp-1002201;F-43m
mp-1002204;P-6m2
mp-1002205;Fm-3m
mp-1002212;F-43m
mp-1002214;Pm-3m
mp-1002215;P-6m2
mp-1002218;Fm-3m
mp-1002225;P-6m2
mp-1002231;Fm-3m
mp-1002323;Cmmm
mp-1003061;P6_3/mmc
mp-10038;Pm-3m
mp-10039;Pm-3m
mp-1003938;Cmmm
mp-1004656;P6_3/mmc
mp-1005224;R-3m
mp-1005234;R-3m
mp-1005320;I4_1/amd
mp-1005343;Pmma
mp-1005370;Pmma
mp-1006366;P6/mmm
mp-10064;Fm-3m
mp-1006563;P2_1/c
mp-1006901;I4/mmm
mp-1006958;I4/mmm
mp-1006973;P-6m2
mp-1006991;I4/mmm
mp-1007070;R-3
mp-1007150;P-62m
mp-1007266;P6/mmm
mp-1007530;P-3m1
mp-1007550;I4/mmm
mp-1008018;R-3
mp-1008033;I4/mmm
mp-1008137;P6_3/mmc
mp-1008141;P6_3/mmc
mp-1008143;I4/mmm
mp-1008264;I4/mmm
mp-1008387;I4/mmm
mp-1008487;Cmcm
mp-1008515;Cmcm
mp-1008565;Cmcm
mp-1008569;Cmcm
mp-1008661;P-6m2
mp-1008673;P-3m1
mp-1008674;P-6m2
mp-1008684;P-6m2
mp-1008685;P-3m1
mp-1008687;P-6m2
mp-1008691;P-3m1
mp-1008699;P-3m1
mp-1010315;P6_3/mmc
mp-1010785;R-3m
mp-1010825;Pmma
mp-1011371;P2_1/c
mp-10115;P6/mmm
mp-1011612;I4/mmm
mp-1011681;P-6m2
mp-1011691;I4/mmm
mp-1011715;I4/mmm
mp-1011805;R-3
mp-1011886;P-62m
mp-1012020;P6/mmm
mp-1012292;P-3m1
mp-1012308;I4/mmm
mp-1012354;R-3
mp-1012359;I4/mmm
mp-1012458;P6_3/mmc
mp-1012461;I4/mmm
mp-1012462;P6_3/mmc
