entry_id;calculation_id
26579;100103
30231;100189
24164;100193
17930;10027
21535;10029
22340;10031
31236;10032
10428;10033
2487;10034
5308;10035
5057;10036
30780;10037
12908;10039
17594;100393
6868;10041
22256;10043
22259;10045
3801;10047
18162;10048
17908;10051
5086;10052
19192;10053
17913;10054
19193;10055
18170;10057
22013;10058
4580;10059
17915;10060
18171;10061
21502;10062
8426;10064
18173;10066
22016;10067
31333;10068
25958;10069
17157;10070
10747;10071
13826;10072
11006;10074
18703;10075
8116;10076
29555;10077
7687;10078
17437;10079
17954;10080
17695;100807
18722;10081
17773;101129
17807;101276
17836;101394
17868;101527
20917;10178
4155;10179
5305;10180
10185;10182
10446;10183
30796;10185
8152;10186
29006;10187
17644;10188
17652;10189
5088;10190
10471;10191
10728;10192
16360;101958
10461;10197
19816;101972
10462;10198
22266;10200
17912;10201
22014;10204
4837;10205
22015;10206
17917;10208
5608;10209
22017;10210
20481;10212
20482;10213
17154;10215
17924;10217
31336;10218
18693;10219
17158;10220
17926;10221
29803;10223
17672;10224
17928;10225
29804;10226
17929;10228
24941;10229
17931;10230
5878;10231
14613;10232
10466;10234
21493;10235
12278;10236
6134;10237
18189;10240
30065;10241
10494;10242
17934;10243
11008;10246
17681;10248
17937;10249
30581;10250
17682;10251
7936;10252
2516;102529
17171;10253
17190;10254
30346;10255
17704;10256
17450;10257
16167;10258
17452;10259
17965;10260
6431;10261
13892;10269
3294;10270
30573;10271
18714;10274
18155;102747
18716;10275
18218;103008
10463;10312
31062;10313
17151;10315
31335;10316
22302;10317
17455;10320
22327;10321
18273;103267
17749;10354
10474;10355
10989;10356
18175;10357
13815;10358
29575;10360
17206;10361
17988;10362
5370;10401
18445;104010
5403;10406
17981;10408
21315;10409
22270;10412
21511;10415
17945;10416
17179;10417
21813;10420
10537;10421
18552;104465
10473;10447
17405;10449
13818;10451
18565;104518
17947;10452
18566;104522
18568;104529
17972;10453
9510;10454
18602;104677
18181;10470
16382;10484
6901;10486
18652;104916
18654;104929
10816;10493
18655;104936
28203;10497
17150;10499
18705;10500
17468;10506
3873;105067
1946;105076
30363;10508
17918;10516
10768;10519
17196;10521
18732;10522
16688;10524
30123;10525
5429;10527
10999;10538
4130;10539
17472;10542
17728;10543
29096;10545
17477;10546
17675;10549
18791;105490
11125;105495
29821;10550
17953;10552
18799;105526
21804;10553
18810;105569
17465;10557
18811;105573
7711;105972
13788;105988
28988;10600
29033;10602
29037;10603
3853;10607
18929;106071
24225;10609
20117;10615
17815;10616
18842;10617
18845;10618
27651;10619
28957;10623
18368;10624
27077;106291
15560;10630
15561;10633
3361;106340
8382;10636
21459;10638
10946;10639
19027;106393
27958;10640
19031;106409
4286;10642
10183;10643
10184;10644
19933;10647
10958;10648
5833;10650
28742;10652
21996;10656
3025;10658
27214;10659
3026;10661
3027;10662
3028;10664
18925;10666
4310;10667
12767;10669
15080;10670
19113;106752
4825;10676
10464;10677
30292;10679
30805;10683
10722;10685
19140;106863
30295;10687
17140;10688
17142;10689
30810;10690
14572;10691
5089;10693
31068;10695
13293;10696
19166;106977
2015;10698
30302;10701
10731;10703
30304;10705
19186;107062
19187;107066
17149;10707
20992;10708
30305;10710
19198;107118
12527;10712
19710;10713
31074;10714
19206;107155
10992;10717
17152;10718
4843;10720
19219;107205
19220;107210
17922;10725
18690;10726
9971;10728
11764;10729
12276;10730
10741;10735
19254;107350
13306;10738
13820;10742
14849;10743
1775;10745
13823;10747
17162;10748
1776;10749
19286;107490
12540;10751
3059;10754
7919;107589
10748;10762
19212;10763
28016;10765
28528;10767
5879;10770
18701;10774
21264;10775
5880;10779
6137;10783
11007;10785
17679;10787
19215;10788
10752;10790
23317;10791
10753;10792
22805;10794
29045;10795
30325;10796
12803;10797
18706;10798
21269;10799
19411;108000
6141;10802
19419;108035
3067;10804
7937;10805
10500;10806
10756;10807
19427;108070
19436;108108
19437;108112
30286;10819
10717;10821
10503;10827
10759;10828
11015;10829
18711;10831
7941;10832
19492;108321
10504;10833
16663;10834
17176;10835
17688;10836
30332;10837
7942;10838
19510;108401
7943;10841
10762;10842
11018;10843
4099;10845
15125;10848
18715;10849
19483;10850
10764;10852
18460;10853
20766;10854
17181;10856
5897;10857
14100;10858
31270;108603
17156;10861
30586;108613
20742;10862
17183;10863
19564;108635
12304;10865
17440;10867
18720;10868
22307;10869
10769;10871
19586;108729
28805;10873
16414;10875
4620;10876
10771;10878
23336;10880
10772;10881
17188;10882
17956;10883
19609;108835
19610;108839
23337;10885
19613;108850
7954;10886
10773;10887
17957;10888
23338;10890
30345;10891
19627;108912
10774;10892
11030;10893
17958;10894
23339;10896
3086;10897
10263;10898
17959;10899
21290;10900
23340;10901
29835;10902
30859;10903
3087;10904
30348;10907
20523;10908
10522;10910
18986;10911
10010;10914
19684;109149
10523;10915
19686;109157
17451;10916
28815;10917
17964;10919
30608;10920
19697;109204
20014;10921
27281;10922
18478;10923
18479;10925
25234;10926
30355;10927
18480;10928
30868;10929
19718;109290
10273;10930
18481;10931
11298;10934
18482;10935
28822;10937
29590;10938
19739;109385
18483;10941
28824;10943
12582;10944
19754;109444
23958;10945
