entry_id;calculation_id;delta_e
17930;10027;0.342858
21535;10029;0.152699
22340;10031;1.46086
31236;10032;-0.88034
10428;10033;-0.150144
2487;10034;-1.15756
5308;10035;-2.10973
5057;10036;-0.448628
30780;10037;-1.16189
12908;10039;-1.54237
6868;10041;-0.021908
22256;10043;0.92447
22259;10045;-0.215758
3801;10047;-0.0848162
18162;10048;-0.160961
17908;10051;-0.899697
5086;10052;-3.1054
19192;10053;-0.51904
17913;10054;-0.380649
19193;10055;-0.504223
18170;10057;-0.159623
22013;10058;-0.380505
4580;10059;-0.20533
17915;10060;-0.0909597
18171;10061;0.234422
21502;10062;-0.391795
8426;10064;-0.200254
18173;10066;-0.23101
22016;10067;-0.41587
31333;10068;-1.2678
25958;10069;-0.259539
17157;10070;-0.128046
10747;10071;-0.488232
13826;10072;0.196605
11006;10074;-0.239697
18703;10075;-0.706808
8116;10076;-0.0855484
29555;10077;-0.224693
7687;10078;-0.612559
17437;10079;-0.0663296
17954;10080;-0.539331
18722;10081;-0.412315
20917;10178;0.184133
4155;10179;-0.297753
5305;10180;-2.82851
10185;10182;-0.470169
10446;10183;-0.28334
30796;10185;-0.325418
8152;10186;-0.713795
29006;10187;-0.263786
17644;10188;-0.59359
17652;10189;-0.10948
5088;10190;-1.87289
10471;10191;-0.386582
10728;10192;-0.517777
10461;10197;-0.200551
10462;10198;-0.18635
22266;10200;-0.143509
17912;10201;-0.346203
22014;10204;-0.435431
4837;10205;0.00594735
22015;10206;-0.40185
17917;10208;-0.0765149
5608;10209;-3.60838
22017;10210;-0.477399
20481;10212;-3.1233
20482;10213;-1.22605
17154;10215;-0.354381
17924;10217;-0.360108
31336;10218;-0.324597
18693;10219;-0.868431
17158;10220;-0.104326
17926;10221;-0.12643
29803;10223;0.0351471
17672;10224;-0.111225
17928;10225;-0.232525
29804;10226;-0.0726708
17929;10228;-0.21308
24941;10229;-0.211995
17931;10230;0.148792
5878;10231;-0.517167
14613;10232;0.222162
10466;10234;-0.473105
21493;10235;-0.855383
12278;10236;-1.03946
6134;10237;-1.19789
18189;10240;-0.0407303
30065;10241;-0.180612
10494;10242;-0.395382
17934;10243;-0.287383
11008;10246;-0.254802
17681;10248;-0.358892
17937;10249;-0.36348
30581;10250;-1.04801
17682;10251;0.0663786
7936;10252;-0.837843
17171;10253;-0.0275358
17190;10254;-0.235442
30346;10255;-0.493636
17704;10256;-0.0240053
17450;10257;-0.0127565
16167;10258;-0.158841
17452;10259;-0.181719
17965;10260;-0.717657
6431;10261;-0.425699
13892;10269;-0.592346
3294;10270;-0.805811
30573;10271;-0.163546
18714;10274;-0.687712
18716;10275;-0.454776
10463;10312;-0.181058
31062;10313;-0.892571
17151;10315;0.0661071
31335;10316;-0.339029
22302;10317;-0.261506
17455;10320;-0.403236
22327;10321;-2.91228
17749;10354;0.305229
10474;10355;-0.82957
10989;10356;-0.184149
18175;10357;-0.259777
13815;10358;-0.128389
29575;10360;-0.254737
17206;10361;-0.487088
17988;10362;-0.697549
5370;10401;-0.409754
5403;10406;-0.367201
17981;10408;-0.92452
21315;10409;-0.143342
22270;10412;-2.06205
21511;10415;0.95252
17945;10416;-0.854394
17179;10417;-0.526345
21813;10420;-0.331978
10537;10421;-0.0962618
10473;10447;-0.645362
17405;10449;-0.271053
13818;10451;-0.379629
17947;10452;-0.825939
17972;10453;-0.641766
9510;10454;-0.316245
18181;10470;-0.0873041
16382;10484;-0.565773
6901;10486;-2.01438
10816;10493;-0.43287
28203;10497;-0.793192
17150;10499;-0.320874
18705;10500;-0.426899
17468;10506;-0.904236
30363;10508;-0.225248
17918;10516;-0.168191
10768;10519;-0.412732
17196;10521;-0.452168
18732;10522;-0.245038
16688;10524;-2.44933
30123;10525;-0.461442
5429;10527;-1.36362
10999;10538;-0.391227
4130;10539;-2.76277
17472;10542;-1.03722
17728;10543;-0.147623
29096;10545;-0.487018
17477;10546;-0.47002
17675;10549;-0.116658
29821;10550;-0.163553
17953;10552;-0.531274
21804;10553;-0.2313
17465;10557;-0.254535
28988;10600;-0.306693
29033;10602;-0.344705
29037;10603;-0.110815
3853;10607;-2.1732
24225;10609;-0.427866
20117;10615;0.0506305
17815;10616;0.0768087
18842;10617;-0.185709
18845;10618;-0.181688
27651;10619;-0.0511929
28957;10623;-0.135647
18368;10624;-0.148694
15560;10630;-0.466241
15561;10633;-0.465887
8382;10636;0.0804232
21459;10638;0.667257
10946;10639;0.265655
27958;10640;-0.333689
4286;10642;-1.42454
10183;10643;-0.606386
10184;10644;-0.579359
19933;10647;-0.352337
10958;10648;-0.0084317
5833;10650;-1.54633
28742;10652;0.186949
21996;10656;-2.3129
3025;10658;-2.94242
27214;10659;-0.335588
3026;10661;-2.95735
3027;10662;-2.0874
3028;10664;-2.97233
18925;10666;-2.33174
4310;10667;-0.863702
12767;10669;-0.437419
15080;10670;-0.244436
4825;10676;-0.0185233
10464;10677;-0.0986682
30292;10679;-0.590176
30805;10683;-0.815556
10722;10685;-0.709834
30295;10687;-0.606529
17140;10688;-0.334252
17142;10689;-0.383667
30810;10690;-0.675231
14572;10691;-1.95031
5089;10693;-1.00603
31068;10695;-0.816732
13293;10696;-0.747164
2015;10698;-1.62434
30302;10701;-0.306275
10731;10703;-0.717656
30304;10705;-0.346672
17149;10707;-0.335323
20992;10708;-2.02854
30305;10710;-0.5896
12527;10712;-0.625956
19710;10713;-0.301937
31074;10714;-0.935122
10992;10717;-0.233682
17152;10718;-0.330933
4843;10720;-1.07266
17922;10725;-0.548115
18690;10726;-0.856
9971;10728;-0.648965
11764;10729;-0.281219
12276;10730;-0.302402
10741;10735;-0.713419
13306;10738;-1.80311
13820;10742;-0.427644
14849;10743;-1.48735
1775;10745;-1.4567
13823;10747;-0.200238
17162;10748;-0.384803
1776;10749;-1.45619
12540;10751;-1.18835
3059;10754;-1.4329
10748;10762;-0.690111
19212;10763;-0.331638
28016;10765;0.0454492
28528;10767;-0.489777
5879;10770;-2.42721
18701;10774;-0.102455
21264;10775;0.314529
5880;10779;-2.72589
6137;10783;-1.88507
11007;10785;-0.183286
17679;10787;-0.436221
19215;10788;-0.125308
10752;10790;-0.687117
23317;10791;-0.283372
10753;10792;-0.632146
22805;10794;-2.52194
29045;10795;-0.124017
30325;10796;-0.578951
12803;10797;-1.38133
18706;10798;-0.401862
21269;10799;-0.29738
6141;10802;-2.86666
3067;10804;0.000231132
7937;10805;-0.829378
10500;10806;-0.410076
10756;10807;-0.553289
30286;10819;-0.629142
10717;10821;-0.7159
10503;10827;-0.696191
10759;10828;-0.704118
11015;10829;-0.313598
18711;10831;-0.432445
7941;10832;-0.834511
10504;10833;-0.692823
16663;10834;-3.08455
17176;10835;-0.222654
17688;10836;-0.467094
30332;10837;-0.105039
7942;10838;-0.77352
7943;10841;-0.816013
10762;10842;-0.715002
11018;10843;-0.155867
4099;10845;-0.306554
15125;10848;-0.393994
18715;10849;-0.0289291
19483;10850;-0.263582
10764;10852;-0.705887
18460;10853;-0.00440682
20766;10854;-0.82996
17181;10856;-0.830944
5897;10857;-1.6735
14100;10858;-0.222628
17156;10861;-0.173769
20742;10862;1.22335
17183;10863;-0.418495
12304;10865;-0.582303
17440;10867;0.026496
