entry_id;calculation_id;spacegroup
17930;10027;P4/mmm
21535;10029;I4/mmm
22340;10031;I4/mmm
31236;10032;P-3m1
10428;10033;Fm-3m
2487;10034;Imm2
5308;10035;R-3m
5057;10036;P42/mmc
30780;10037;R3m
12908;10039;I4/mmm
6868;10041;R3m
22256;10043;P63/mmc
22259;10045;P-4m2
3801;10047;R-3m
18162;10048;Pm-3m
17908;10051;Pm-3m
5086;10052;Pm-3m
19192;10053;Pm-3m
17913;10054;Pm-3m
19193;10055;Pm-3m
18170;10057;Pm-3m
22013;10058;P3m1
4580;10059;P63mc
17915;10060;Pm-3m
18171;10061;Pm-3m
21502;10062;Cmmm
8426;10064;P63/mmc
18173;10066;Pm-3m
22016;10067;P3m1
31333;10068;P63mc
25958;10069;Fm-3m
17157;10070;P4/mmm
10747;10071;F-43m
13826;10072;P63mc
11006;10074;Pm-3m
18703;10075;P4/mmm
8116;10076;P63/mmc
29555;10077;Pm-3m
7687;10078;Fm-3m
17437;10079;Pm-3m
17954;10080;Pm-3m
18722;10081;I4/mmm
20917;10178;Fm-3m
4155;10179;R-3m
5305;10180;R-3m
10185;10182;P21/m
10446;10183;I4/mmm
30796;10185;Cmcm
8152;10186;P63mc
29006;10187;Fd-3m
17644;10188;P4/mmm
17652;10189;Fm-3m
5088;10190;R-3m
10471;10191;I4/mmm
10728;10192;F-43m
10461;10197;Fm-3m
10462;10198;Fm-3m
22266;10200;P-4m2
17912;10201;Pm-3m
22014;10204;P3m1
4837;10205;Immm
22015;10206;P3m1
17917;10208;Pm-3m
5608;10209;R-3m
22017;10210;P3m1
20481;10212;P63mc
20482;10213;P63mc
17154;10215;F-43m
17924;10217;P4/mmm
31336;10218;Fd-3m
18693;10219;Pm-3m
17158;10220;P4/mmm
17926;10221;Pm-3m
29803;10223;Fm-3m
17672;10224;Pm-3m
17928;10225;Pm-3m
29804;10226;P63/mmc
17929;10228;Pm-3m
24941;10229;R-3m
17931;10230;Pm-3m
5878;10231;Cmcm
14613;10232;P6/mmm
10466;10234;Fm-3m
21493;10235;P-4m2
12278;10236;R-3m
6134;10237;R-3m
18189;10240;Pm-3m
30065;10241;Pm-3m
10494;10242;Pm-3m
17934;10243;Pm-3m
11008;10246;Cmcm
17681;10248;Pm-3m
17937;10249;Pm-3m
30581;10250;R-3m
17682;10251;Pm-3m
7936;10252;Cmcm
17171;10253;P4/mmm
17190;10254;Pm-3m
30346;10255;Pm-3m
17704;10256;Pm-3m
17450;10257;Pm-3m
16167;10258;Pmm2
17452;10259;Fm-3m
17965;10260;Pm-3m
6431;10261;P6/mmm
13892;10269;C2/m
3294;10270;C2/c
30573;10271;Fm-3m
18714;10274;Pm-3m
18716;10275;Pm-3m
10463;10312;Fm-3m
31062;10313;P63/mmc
17151;10315;Fm-3m
31335;10316;Fm-3m
22302;10317;P-4m2
17455;10320;Pm-3m
22327;10321;P63/mmc
17749;10354;F-43m
10474;10355;Fm-3m
10989;10356;Pm-3m
18175;10357;Pm-3m
13815;10358;Fm-3m
29575;10360;Pm-3m
17206;10361;Pm-3m
17988;10362;Pm-3m
5370;10401;P-4m2
5403;10406;P63mc
17981;10408;Pm-3m
21315;10409;Pm-3m
22270;10412;P4/mmm
21511;10415;P63mc
17945;10416;Pm-3m
17179;10417;Pm-3m
21813;10420;F-43m
10537;10421;Pm-3m
10473;10447;Fm-3m
17405;10449;Fm-3m
13818;10451;Fm-3m
17947;10452;Pm-3m
17972;10453;Pm-3m
9510;10454;P63/mmc
18181;10470;Fm-3m
16382;10484;C2/m
6901;10486;R-3m
10816;10493;I4/mmm
28203;10497;Cmcm
17150;10499;Fm-3m
18705;10500;Fm-3m
17468;10506;Pm-3m
30363;10508;Pm-3m
17918;10516;Pm-3m
10768;10519;Fm-3m
17196;10521;Pm-3m
18732;10522;Fm-3m
16688;10524;R-3m
30123;10525;Pm-3m
5429;10527;P63/mmc
10999;10538;Pm-3m
4130;10539;R-3m
17472;10542;Pm-3m
17728;10543;Pm-3m
29096;10545;Fm-3m
17477;10546;Pm-3m
17675;10549;Fm-3m
29821;10550;P4/nmm
17953;10552;P4/mmm
21804;10553;Fm-3m
17465;10557;Pm-3m
28988;10600;C2/m
29033;10602;C2/m
29037;10603;C2/m
3853;10607;I4/mmm
24225;10609;C2/m
20117;10615;C2/m
17815;10616;F-43m
18842;10617;F-43m
18845;10618;F-43m
27651;10619;I4/mmm
28957;10623;P-3m1
18368;10624;Cmmm
15560;10630;I-4m2
15561;10633;I-4m2
8382;10636;P4/nmm
21459;10638;Imma
10946;10639;P63/mmc
27958;10640;Cmcm
4286;10642;R-3m
10183;10643;P21/m
10184;10644;Cmcm
19933;10647;Cmcm
10958;10648;P63/mmc
5833;10650;C2/m
28742;10652;P63/mmc
21996;10656;P4/mmm
3025;10658;R-3m
27214;10659;Fm-3m
3026;10661;R-3m
3027;10662;R-3m
3028;10664;R-3m
18925;10666;R-3m
4310;10667;R3m
12767;10669;Cmma
15080;10670;P3m1
4825;10676;Cmc21
10464;10677;Fm-3m
30292;10679;Cmcm
30805;10683;Cmcm
10722;10685;Fm-3m
30295;10687;Cmcm
17140;10688;Fm-3m
17142;10689;Fm-3m
30810;10690;Cmcm
14572;10691;R-3m
5089;10693;R-3m
31068;10695;Cmcm
13293;10696;R-3m
2015;10698;Cmc21
30302;10701;I4/mmm
10731;10703;Fm-3m
30304;10705;Fm-3m
17149;10707;Fm-3m
20992;10708;R-3m
30305;10710;Cmcm
12527;10712;Abm2
19710;10713;I4/mmm
31074;10714;Cmcm
10992;10717;Fm-3m
17152;10718;Fm-3m
4843;10720;R-3m
17922;10725;Cmcm
18690;10726;Cmcm
9971;10728;Cmcm
11764;10729;Amm2
12276;10730;Amm2
10741;10735;Fm-3m
13306;10738;R-3m
13820;10742;Fm-3m
14849;10743;R-3m
1775;10745;C2/m
13823;10747;R-3m
17162;10748;Fm-3m
1776;10749;R-3m
12540;10751;R-3m
3059;10754;P3m1
10748;10762;Fm-3m
19212;10763;P3m1
28016;10765;P63/mmc
28528;10767;Cmcm
5879;10770;Pm-3m
18701;10774;Fm-3m
21264;10775;Pmn21
5880;10779;Pm-3m
6137;10783;R-3m
11007;10785;Fm-3m
17679;10787;Fm-3m
19215;10788;Fm-3m
10752;10790;Fm-3m
23317;10791;Cmcm
10753;10792;Fm-3m
22805;10794;R-3m
29045;10795;P4/nmm
30325;10796;Cmcm
12803;10797;R-3m
18706;10798;Cmcm
21269;10799;I4/mmm
6141;10802;R-3m
3067;10804;Cmca
7937;10805;Cmcm
10500;10806;Fm-3m
10756;10807;Fm-3m
30286;10819;Cmcm
10717;10821;Fm-3m
10503;10827;Fm-3m
10759;10828;Fm-3m
11015;10829;Fm-3m
18711;10831;P4/mmm
7941;10832;Cmcm
10504;10833;Fm-3m
16663;10834;R-3m
17176;10835;Fm-3m
17688;10836;Fm-3m
30332;10837;Pm-3m
7942;10838;Cmcm
25672;1352933;P212121
1216058;2454;R-3m
1216098;2689;R-3m
